"filename", "language", "Go", "Objective-C", "C++", "Markdown", "JSON", "Makefile", "TypeScript", "Shell Script", "PostCSS", "HTML", "JavaScript", "Go Module File", "comment", "blank", "total"
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/cmd/wasm/main.go", "Go", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 28
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/device-enumeration-1753887304.json", "JSON", 0, 0, 0, 0, 464, 0, 0, 0, 0, 0, 0, 0, 0, 0, 464
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/docs/architecture.md", "Markdown", 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 121
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/docs/device-enumeration-architecture.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/docs/timeout-architecture.md", "Markdown", 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 165
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/go.mod", "Go Module File", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 4, 11
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/pkg/audio/audiounit_devices.h", "C++", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 32
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/pkg/audio/audiounit_devices.m", "Objective-C", 0, 431, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 114, 597
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/pkg/audio/audiounit_inspector.h", "C++", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 16
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/pkg/audio/audiounit_inspector.m", "Objective-C", 0, 405, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 89, 549
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/pkg/devices/benchmark_test.go", "Go", 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 121
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/pkg/devices/device_enumerator.h", "C++", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 28
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/pkg/devices/device_enumerator.m", "Objective-C", 0, 308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 86, 414
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/pkg/devices/devices_test.go", "Go", 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 41, 250
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/pkg/devices/doc.go", "Go", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 9
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/pkg/devices/integration_test.go", "Go", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25, 146
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/pkg/devices/native.go", "Go", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 33, 136
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/pkg/devices/stub.go", "Go", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 133
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/pkg/devices/types.go", "Go", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 14, 76
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/pkg/introspection/benchmark_test.go", "Go", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 51
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/pkg/introspection/introspection_stub_test.go", "Go", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 52
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/pkg/introspection/introspection_test.go", "Go", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 19, 95
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/pkg/introspection/native.go", "Go", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 10, 52
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/pkg/introspection/stub.go", "Go", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 37
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/pkg/introspection/types.go", "Go", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 72
"Total", "-", 3027, 2091, 81, 2114, 464, 141, 55, 33, 3699, 1420, 19738, 6, 1150, 2152, 36171
